NV01: array([  2.79749021e+09,   3.03555647e+09])

NV02: array([  2.56376135e+09,   3.18432006e+09])     100

NV03: array([  2.79210831e+09,   3.03800444e+09])
NV04: array([  2.79746843e+09,   3.03451340e+09])

NV05: array([  2.56329954e+09,   3.18439341e+09])     100

NV06: array([  2.77337109e+09,   3.02241746e+09])
NV07: array([  2.79235172e+09,   3.03809236e+09])

NV08: array([  2.56383882e+09,   3.18399623e+09])     170

NV09: array([  2.79322387e+09,   3.03810611e+09])

NV10: array([  2.56163565e+09,   3.18413424e+09])     110

NV11: array([  2.56325671e+09,   3.18393480e+09])     115
